VehicleType,DayType,StartTime,EndTime,ZoneID,ChargeAmount,EffectiveDate,ErpGantryNo,ErpGantryLocation,latitude,longitude
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,07:00,08:00,AY1,0.0,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:00,08:05,AY1,0.5,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:05,08:30,AY1,1.0,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:30,08:35,AY1,1.5,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:35,08:55,AY1,2.0,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:55,09:00,AY1,1.5,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:00,09:25,AY1,1.0,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:25,09:30,AY1,0.5,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:30,22:30,AY1,0.0,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Light Goods Vehicles,Weekdays,07:00,08:00,AY1,0.0,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Light Goods Vehicles,Weekdays,08:00,08:05,AY1,0.5,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Light Goods Vehicles,Weekdays,08:05,08:30,AY1,1.0,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
Light Goods Vehicles,Weekdays,08:30,08:35,AY1,1.5,2024-01-02,36,AYE to City before Alexandra Road,1.2867917,103.796721
