,Node,coordinates,lat,long,Size
0,0,"('1.2956509', '103.7770321')",1.2956509,103.7770321,1
1,1,"('1.2956778', '103.7772081')",1.2956778,103.7772081,1
2,2,"('1.2956000', '103.7772698')",1.2956,103.7772698,1
3,3,"('1.2954740', '103.7773395')",1.295474,103.7773395,1
4,4,"('1.2953318', '103.7773931')",1.2953318,103.7773931,1
5,5,"('1.2951540', '103.7774532')",1.295154,103.7774532,1
6,6,"('1.2950936', '103.7775783')",1.2950936,103.7775783,1
7,7,"('1.2950065', '103.7777133')",1.2950065,103.7777133,1
8,8,"('1.2948776', '103.7779193')",1.2948776,103.7779193,1
9,9,"('1.2948150', '103.7780657')",1.294815,103.7780657,1
10,10,"('1.2948218', '103.7782936')",1.2948218,103.7782936,1
11,11,"('1.2948380', '103.7786267')",1.294838,103.7786267,1
12,12,"('1.2948504', '103.7790390')",1.2948504,103.779039,1
13,13,"('1.2948180', '103.7792888')",1.294818,103.7792888,1
14,14,"('1.2947499', '103.7797093')",1.2947499,103.7797093,1
15,15,"('1.2947159', '103.7798142')",1.2947159,103.7798142,1
16,16,"('1.2946721', '103.7799066')",1.2946721,103.7799066,1
17,17,"('1.2946323', '103.7799608')",1.2946323,103.7799608,1
18,18,"('1.2945913', '103.7800058')",1.2945913,103.7800058,1
19,19,"('1.2944799', '103.7800978')",1.2944799,103.7800978,1
20,20,"('1.2941452', '103.7803652')",1.2941452,103.7803652,1
21,21,"('1.2940021', '103.7805000')",1.2940021,103.7805,1
22,22,"('1.2938920', '103.7806185')",1.293892,103.7806185,1
23,23,"('1.2937728', '103.7807774')",1.2937728,103.7807774,1
24,24,"('1.2936545', '103.7809262')",1.2936545,103.7809262,1
25,25,"('1.2935927', '103.7809843')",1.2935927,103.7809843,1
26,26,"('1.2935302', '103.7810360')",1.2935302,103.781036,1
27,27,"('1.2934599', '103.7810766')",1.2934599,103.7810766,1
28,28,"('1.2934025', '103.7811002')",1.2934025,103.7811002,1
29,29,"('1.2933744', '103.7811118')",1.2933744,103.7811118,1
30,30,"('1.2932306', '103.7811630')",1.2932306,103.781163,1
31,31,"('1.2929789', '103.7812525')",1.2929789,103.7812525,1
32,32,"('1.2929605', '103.7812611')",1.2929605,103.7812611,1
33,33,"('1.2928996', '103.7812895')",1.2928996,103.7812895,1
34,34,"('1.2928286', '103.7813521')",1.2928286,103.7813521,1
35,35,"('1.2927989', '103.7813947')",1.2927989,103.7813947,1
36,36,"('1.2927832', '103.7814172')",1.2927832,103.7814172,1
37,37,"('1.2927521', '103.7814932')",1.2927521,103.7814932,1
38,38,"('1.2926191', '103.7819058')",1.2926191,103.7819058,1
39,39,"('1.2924875', '103.7822460')",1.2924875,103.782246,1
40,40,"('1.2924668', '103.7823174')",1.2924668,103.7823174,1
41,41,"('1.2924537', '103.7823907')",1.2924537,103.7823907,1
42,42,"('1.2924453', '103.7825786')",1.2924453,103.7825786,1
43,43,"('1.2924329', '103.7826443')",1.2924329,103.7826443,1
44,44,"('1.2924045', '103.7827460')",1.2924045,103.782746,1
45,45,"('1.2923222', '103.7828973')",1.2923222,103.7828973,1
46,46,"('1.2922324', '103.7829995')",1.2922324,103.7829995,1
47,47,"('1.2921481', '103.7830616')",1.2921481,103.7830616,1
48,48,"('1.2921365', '103.7830702')",1.2921365,103.7830702,1
49,49,"('1.2920273', '103.7831270')",1.2920273,103.783127,1
50,50,"('1.2919561', '103.7831786')",1.2919561,103.7831786,1
51,51,"('1.2918209', '103.7832791')",1.2918209,103.7832791,1
52,52,"('1.2916445', '103.7834792')",1.2916445,103.7834792,1
53,53,"('1.2916004', '103.7835284')",1.2916004,103.7835284,1
54,54,"('1.2916719', '103.7836120')",1.2916719,103.783612,1
55,55,"('1.2918935', '103.7838458')",1.2918935,103.7838458,1
56,56,"('1.2921205', '103.7840846')",1.2921205,103.7840846,1
57,57,"('1.2921620', '103.7841332')",1.292162,103.7841332,1
58,58,"('1.2922075', '103.7841775')",1.2922075,103.7841775,1
59,59,"('1.2922414', '103.7842142')",1.2922414,103.7842142,1
60,60,"('1.2922533', '103.7842275')",1.2922533,103.7842275,1
61,61,"('1.2924392', '103.7844315')",1.2924392,103.7844315,1
62,62,"('1.2927848', '103.7847813')",1.2927848,103.7847813,1
63,63,"('1.2928860', '103.7848752')",1.292886,103.7848752,1
64,64,"('1.2930210', '103.7849930')",1.293021,103.784993,1
65,65,"('1.2932172', '103.7851670')",1.2932172,103.785167,1
