,Type,Latitude,Longitude,Message,Size,Time,Detail
0,Vehicle breakdown,1.4008316497205604,103.85978936689092,(20/3)11:40 Vehicle breakdown on TPE (towards PIE) after SLE Entrance.,1,11:40, Vehicle breakdown on TPE (towards PIE) after SLE Entrance.
1,Roadwork,1.3692217410938838,103.84447101125517,(20/3)11:26 Roadworks on Ang Mo Kio Avenue 3 (towards Ang Mo Kio Avenue 6) after Ang Mo Kio Street 22. Avoid right lane.,1,11:26, Roadworks on Ang Mo Kio Avenue 3 (towards Ang Mo Kio Avenue 6) after Ang Mo Kio Street 22. Avoid right lane.
2,Accident,1.4241620963815456,103.77104974774089,(20/3)11:12 Accident on BKE (towards Woodlands) after SLE Exit.,1,11:12, Accident on BKE (towards Woodlands) after SLE Exit.
3,Roadwork,1.279136417015504,103.82011384916885,(20/3)11:07 Roadworks on AYE (towards MCE) before CTE Exit.,1,11:07, Roadworks on AYE (towards MCE) before CTE Exit.
4,Roadwork,1.3224901693335176,103.82598117475747,(20/3)10:54 Roadworks on Whitley Road (towards Merryn Road) after Dunearn Road. Avoid left lane.,1,10:54, Roadworks on Whitley Road (towards Merryn Road) after Dunearn Road. Avoid left lane.
5,Roadwork,1.3543856119186102,103.71629777874648,(20/3)10:53 Roadworks on Jurong West Avenue 2 (towards Corporation Road) after PIE. Avoid right lane.,1,10:53, Roadworks on Jurong West Avenue 2 (towards Corporation Road) after PIE. Avoid right lane.
6,Roadwork,1.3006266899512835,103.84110043919114,(20/3)10:52 Roadworks on Orchard Road (towards Bras Basah Rd) after Grange Road. Avoid right lane.,1,10:52, Roadworks on Orchard Road (towards Bras Basah Rd) after Grange Road. Avoid right lane.
7,Roadwork,1.3460560825423917,103.70577029429298,(20/3)10:50 Roadworks on Jalan Boon Lay (towards Jurong West Avenue 2) after Jurong West Central 1. Avoid right lane.,1,10:50, Roadworks on Jalan Boon Lay (towards Jurong West Avenue 2) after Jurong West Central 1. Avoid right lane.
8,Roadwork,1.3234141168384221,103.66391177592288,(20/3)10:43 Roadworks on PIE (towards Changi Airport) before Pasir Laba. Avoid lane 3.,1,10:43, Roadworks on PIE (towards Changi Airport) before Pasir Laba. Avoid lane 3.
9,Roadwork,1.2895024584082373,103.83805046858092,(20/3)10:42 Roadworks on Saiboo Street (towards Mohamad Sultan Road) after Havelock Road.,1,10:42, Roadworks on Saiboo Street (towards Mohamad Sultan Road) after Havelock Road.
10,Roadwork,1.349006348893809,103.87293629349425,(20/3)10:40 Roadworks on Upper Serangoon Road (towards Sengkang) after Serangoon Avenue 2.,1,10:40, Roadworks on Upper Serangoon Road (towards Sengkang) after Serangoon Avenue 2.
11,Roadwork,1.2659016810240764,103.82279200342944,(20/3)10:38 Roadworks on Telok Blangah Road (towards City) after Harbourfront Avenue.,1,10:38, Roadworks on Telok Blangah Road (towards City) after Harbourfront Avenue.
12,Roadwork,1.3016080312270983,103.86242211893816,(20/3)10:38 Roadworks on Beach Road near Beach Road/Jalan Sultan Junction.,1,10:38, Roadworks on Beach Road near Beach Road/Jalan Sultan Junction.
13,Roadwork,1.3471629829483012,103.87183517509268,(20/3)10:38 Roadworks on Upper Serangoon Road (towards Sengkang) after Braddell Rd.,1,10:38, Roadworks on Upper Serangoon Road (towards Sengkang) after Braddell Rd.
14,Roadwork,1.3000244370454022,103.85973004226412,(20/3)10:36 Roadworks on Beach Road (towards Haji Lane) after Arab Street. Avoid right lane.,1,10:36, Roadworks on Beach Road (towards Haji Lane) after Arab Street. Avoid right lane.
15,Roadwork,1.3168947119450929,103.85939130316332,(20/3)10:30 Roadworks on Serangoon Road (towards Sengkang) after Balestier Road.,1,10:30, Roadworks on Serangoon Road (towards Sengkang) after Balestier Road.
16,Roadwork,1.301819521463806,103.85681499937617,(20/3)10:28 Roadworks on Victoria Street (towards Ophir Road) after Rochor Road. Avoid left lane.,1,10:28, Roadworks on Victoria Street (towards Ophir Road) after Rochor Road. Avoid left lane.
17,Roadwork,1.3593844611561288,103.85328984761911,(20/3)10:28 Roadworks on Ang Mo Kio Avenue 1 (towards Ang Mo Kio Avenue 8) after Ang Mo Kio Avenue 10. Avoid left lane.,1,10:28, Roadworks on Ang Mo Kio Avenue 1 (towards Ang Mo Kio Avenue 8) after Ang Mo Kio Avenue 10. Avoid left lane.
18,Roadwork,1.3583293274193162,103.82875043957664,(20/3)10:28 Roadworks on Upper Thomson Road (towards Newton) after Sin Ming Avenue. Avoid left lane.,1,10:28, Roadworks on Upper Thomson Road (towards Newton) after Sin Ming Avenue. Avoid left lane.
19,Roadwork,1.2726535001736312,103.84076933413542,(20/3)10:27 Roadworks on Keppel Road (towards City) after Cantonment Link.,1,10:27, Roadworks on Keppel Road (towards City) after Cantonment Link.
20,Roadwork,1.279434441021755,103.83953916551259,(20/3)10:27 Roadworks on New Bridge Road towards Cantonment Road. Avoid right lane.,1,10:27, Roadworks on New Bridge Road towards Cantonment Road. Avoid right lane.
21,Roadwork,1.2819670191007242,103.83785052989373,(20/3)10:26 Roadworks on Outram Road (towards Outram Park) after Chin Swee Road.,1,10:26, Roadworks on Outram Road (towards Outram Park) after Chin Swee Road.
22,Roadwork,1.2851530899306058,103.80214094821011,(20/3)10:25 Roadworks on Alexandra Road (towards Bukit Merah Lane 1) after AYE. Avoid left lane.,1,10:25, Roadworks on Alexandra Road (towards Bukit Merah Lane 1) after AYE. Avoid left lane.
23,Roadwork,1.2983403720814792,103.85419625853734,(20/3)10:24 Roadworks on Middle Road (towards Victoria Street) after North Bridge Road. Avoid left lane.,1,10:24, Roadworks on Middle Road (towards Victoria Street) after North Bridge Road. Avoid left lane.
24,Roadwork,1.3234058905281958,103.663960837279,(20/3)10:24 Roadworks on PIE (towards Tuas) after AYE Exit. Avoid lane 3.,1,10:24, Roadworks on PIE (towards Tuas) after AYE Exit. Avoid lane 3.
25,Roadwork,1.3339647031658508,103.75924693743428,(20/3)10:23 Roadworks on Toh Tuck Avenue (towards Toh Tuck Link) after PIE. Avoid left lane.,1,10:23, Roadworks on Toh Tuck Avenue (towards Toh Tuck Link) after PIE. Avoid left lane.
26,Roadwork,1.3338730781685624,103.78895716772246,(20/3)10:22 Roadworks on Bukit Timah Road (towards Woodlands) after Holland Link. Avoid right lane.,1,10:22, Roadworks on Bukit Timah Road (towards Woodlands) after Holland Link. Avoid right lane.
27,Roadwork,1.317065748017805,103.7619132498745,(20/3)10:21 Roadworks on Clementi Avenue 6 (towards Jalan Lempeng) after AYE. Avoid left lane.,1,10:21, Roadworks on Clementi Avenue 6 (towards Jalan Lempeng) after AYE. Avoid left lane.
28,Roadwork,1.3069913368783557,103.91601699770298,(20/3)10:20 Roadworks on Marine Parade Road (towards Telok Kurau Road) after Marine Terrace. Avoid left lane.,1,10:20, Roadworks on Marine Parade Road (towards Telok Kurau Road) after Marine Terrace. Avoid left lane.
29,Roadwork,1.4175841213725804,103.80242905350164,(20/3)10:20 Roadworks on SLE (towards CTE) before Mandai Ave Exit. Avoid lane 3.,1,10:20, Roadworks on SLE (towards CTE) before Mandai Ave Exit. Avoid lane 3.
30,Roadwork,1.2949320741319756,103.8553030561022,(20/3)10:19 Roadworks on Beach Road (towards Bras Basah Road) after Seah Street.,1,10:19, Roadworks on Beach Road (towards Bras Basah Road) after Seah Street.
31,Roadwork,1.2971178382277209,103.85577273486244,(20/3)10:19 Roadworks on Middle Road (towards Beach Road) after North Bridge Road.,1,10:19, Roadworks on Middle Road (towards Beach Road) after North Bridge Road.
32,Roadwork,1.346614224969799,103.87175913918487,(20/3)10:16 Roadworks on Upper Serangoon Road (towards City) after Serangoon Avenue 2. Avoid left lane.,1,10:16, Roadworks on Upper Serangoon Road (towards City) after Serangoon Avenue 2. Avoid left lane.
33,Roadwork,1.2751231136662382,103.84713006162475,(20/3)10:15 Roadworks on Prince Edward Road (towards Anson Road) after Shenton Way. Avoid right lane.,1,10:15, Roadworks on Prince Edward Road (towards Anson Road) after Shenton Way. Avoid right lane.
34,Roadwork,1.2757892606892318,103.84857411217585,(20/3)10:14 Roadworks on Straits Boulevard (towards Marina View) after Shenton Way. Avoid right lane.,1,10:14, Roadworks on Straits Boulevard (towards Marina View) after Shenton Way. Avoid right lane.
35,Roadwork,1.3440227679540533,103.87766507690698,(20/3)10:14 Roadworks on Bartley Road (towards Braddell) after Mount Vernon Road. Avoid left lane.,1,10:14, Roadworks on Bartley Road (towards Braddell) after Mount Vernon Road. Avoid left lane.
36,Roadwork,1.3165451867911768,103.84463752589595,(20/3)10:13 Roadworks on Thomson Road (towards Keng Lee Road) after Moulmein Road. Avoid left lane.,1,10:13, Roadworks on Thomson Road (towards Keng Lee Road) after Moulmein Road. Avoid left lane.
37,Roadwork,1.326475047932466,103.69652646165899,(20/3)10:13 Roadworks on Pioneer Road North (towards Lok Yang Way) after International Road. Avoid right lane.,1,10:13, Roadworks on Pioneer Road North (towards Lok Yang Way) after International Road. Avoid right lane.
38,Roadwork,1.322398403975425,103.90532203801274,(20/3)10:12 Roadworks on Jalan Eunos (towards Still Rd) after PIE.,1,10:12, Roadworks on Jalan Eunos (towards Still Rd) after PIE.
39,Roadwork,1.3422357253204982,103.7357108278936,(20/3)10:12 Roadworks on Jurong Town Hall Road (towards Boon Lay Way) after Jurong East Avenue 1. Avoid left lane.,1,10:12, Roadworks on Jurong Town Hall Road (towards Boon Lay Way) after Jurong East Avenue 1. Avoid left lane.
40,Roadwork,1.3172457399084743,103.75047291093419,(20/3)10:11 Roadworks on West Coast Road (towards Pandan Gardens) after West Coast Highway.,1,10:11, Roadworks on West Coast Road (towards Pandan Gardens) after West Coast Highway.
41,Roadwork,1.329787543636829,103.68724782216526,(20/3)10:10 Roadworks on Upper Jurong Road (towards City) after PIE.,1,10:10, Roadworks on Upper Jurong Road (towards City) after PIE.
42,Roadwork,1.302575056305327,103.8325088186073,(20/3)10:10 Roadworks on Orchard Boulevard towards Orchard Turn. Avoid right lane.,1,10:10, Roadworks on Orchard Boulevard towards Orchard Turn. Avoid right lane.
